R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R21i,R22i,R23i,R25i,R26i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T8,T9,T10,T11,T12,T13,T19,T21,T22
0,0,0,0,0,0,0,0,13,13,0,20,20,5,0,0,26,0,0,0,0,0,-35,0,-35,20,0,5,-35,0,0,5,0,0,-35,13,0,0,-20,-35,0,-35,0,0
0,0,0,0,0,0,0,0,13,13,0,20,20,5,0,0,26,0,0,0,0,0,-35,0,-35,20,0,5,-35,0,-35,5,0,0,0,13,0,0,-20,-35,0,0,0,0
0,0,0,0,0,0,0,0,9,9,0,20,20,5,0,0,18,0,0,0,0,0,-15,0,-15,20,20,5,-35,0,0,5,0,0,-15,9,0,20,0,-15,0,-15,0,0
0,0,0,0,0,0,0,0,9,9,0,20,20,5,0,0,18,0,0,0,0,0,-15,0,-15,20,20,5,-35,0,-15,5,0,0,0,9,0,20,0,-15,0,0,0,0
0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,4,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,-5,0,2,0,5,5,0,0,5,0,5
0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,4,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,-5,-5,2,0,5,5,0,0,0,0,5
0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,6,0,5,0,0,0,-5,5,-5,0,0,0,0,0,0,0,0,-5,-5,3,0,0,0,-5,0,0,0,5
0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,6,0,5,0,0,0,-5,5,-5,0,0,0,0,0,-5,0,0,-5,0,3,0,0,0,-5,0,5,0,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,-1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,-1,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,0,0,0,0,0,4,0,0,-4,0,0,-1,-1,4,0,0,4,4,0,0,4,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,0,0,0,0,0,4,0,0,-4,4,0,-1,-1,0,0,0,4,4,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,0,0,0,-1,1,0,0,2,2,0,0,2,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,1,0,0,-1,0,0,0,2,2,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,-1,2,0,0,-1,-1,0,0,2,2,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,4,4,1,0,0,0,0,0,6,0,0,0,0,0,4,13,1,-7,-6,0,1,0,0,6,0,0,13,9,0,0,6,0,0
0,0,0,0,0,6,0,0,0,0,0,4,4,1,0,0,0,0,0,6,0,0,0,0,0,4,13,1,-7,-6,6,1,0,0,0,0,0,13,9,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,0,0,-2,0,0,0,-1,2,0,0,3,3,0,0,3,0,1
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,0,0,-2,2,0,0,-1,0,0,0,3,3,0,0,1,0,1
0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,0,0,-2,3,0,0,-1,-1,0,0,3,3,0,0,0,0,1
0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,-3,0,0,-2,-2,3,1,0,3,3,0,0,3,0,0
0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,-3,3,0,-2,-2,0,1,0,3,3,0,0,0,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,7,1,-7,8,0,1,0,0,-8,0,22,7,7,-8,0,-8,0,0
0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,7,1,-7,8,-8,1,0,0,0,0,22,7,7,-8,0,0,0,0
